nivel_ruido,fuerza_cambio,tipo_cambio,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,iterations,series_per_iteration,delta_eval,series_evaluated,series_avg_length,series_std_length,notes,status,trial_id,is_best,params_json,f1_mean,precision_mean,recall_mean,mmd_mean,mttd_mean,detections_mean,tp_mean,fp_mean,fn_mean,series_count
alto,alto,escalon,changepoint_online_md_focus,changepoint_online,MDFocus,no_supervisado,False,3,15,10,45,280.0,83.2666399786453,Binary segmentation RBF (aprox multivariado).,ok,1,False,"{""jump"": 3, ""min_size"": 30, ""penalty"": 20.0}",0.2474074074074074,0.36666666666666664,0.21666666666666667,0.8289057507424412,2.0789473684210527,0.6666666666666666,0.4666666666666667,0.2,1.8444444444444446,45
alto,alto,escalon,changepoint_online_md_focus,changepoint_online,MDFocus,no_supervisado,False,3,15,10,45,280.0,83.2666399786453,Binary segmentation RBF (aprox multivariado).,ok,2,False,"{""jump"": 3, ""min_size"": 20, ""penalty"": 30.0}",0.19703703703703704,0.3111111111111111,0.15555555555555553,0.8882276228622039,1.7,0.4666666666666667,0.35555555555555557,0.1111111111111111,1.9555555555555555,45
alto,alto,escalon,changepoint_online_md_focus,changepoint_online,MDFocus,no_supervisado,False,3,15,10,45,280.0,83.2666399786453,Binary segmentation RBF (aprox multivariado).,ok,3,False,"{""jump"": 3, ""min_size"": 30, ""penalty"": 30.0}",0.19703703703703704,0.3111111111111111,0.15555555555555553,0.8882276228622039,1.7,0.4666666666666667,0.35555555555555557,0.1111111111111111,1.9555555555555555,45
alto,alto,escalon,ocpdet_cumsum,OCPDet,cumsum,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,CUSUM clasico.,ok,0,False,"{""drift"": 0.0, ""min_distance"": 20, ""threshold"": 6.0}",0.29865344493827467,0.18407407407407408,1.0,0.3933212418228008,4.912962962962963,14.0,2.311111111111111,11.688888888888888,0.0,45
alto,alto,escalon,ocpdet_cumsum,OCPDet,cumsum,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,CUSUM clasico.,ok,1,False,"{""drift"": 0.0, ""min_distance"": 30, ""threshold"": 6.0}",0.23278715112048445,0.1565079365079365,0.5777777777777777,0.39634410129671144,5.154761904761905,9.666666666666666,1.4,8.266666666666667,0.9111111111111111,45
alto,alto,escalon,ocpdet_cumsum,OCPDet,cumsum,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,CUSUM clasico.,ok,2,True,"{""drift"": 0.0, ""min_distance"": 20, ""threshold"": 10.0}",0.29865344493827467,0.18407407407407408,1.0,0.39237025789419144,5.138888888888889,14.0,2.311111111111111,11.688888888888888,0.0,45
alto,alto,escalon,ocpdet_cumsum,OCPDet,cumsum,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,CUSUM clasico.,ok,3,False,"{""drift"": 0.0, ""min_distance"": 30, ""threshold"": 10.0}",0.24575011408344744,0.16444444444444442,0.6037037037037037,0.3950481169070738,5.231981981981982,9.666666666666666,1.4444444444444444,8.222222222222221,0.8666666666666667,45
alto,alto,escalon,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,EWMA adaptativo.,ok,0,True,"{""alpha"": 0.05, ""min_instances"": 5, ""threshold"": 2.0}",0.2482209022122425,0.1512534478478751,0.8499999999999999,0.42962573050918895,4.4356060606060606,13.71111111111111,1.9333333333333333,11.777777777777779,0.37777777777777777,45
alto,alto,escalon,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,EWMA adaptativo.,ok,1,False,"{""alpha"": 0.05, ""min_instances"": 5, ""threshold"": 3.0}",0.16144620811287477,0.14074074074074072,0.22037037037037036,0.8103786255647388,4.7105263157894735,3.088888888888889,0.4444444444444444,2.6444444444444444,1.8666666666666667,45
alto,alto,escalon,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,EWMA adaptativo.,ok,2,False,"{""alpha"": 0.1, ""min_instances"": 5, ""threshold"": 2.0}",0.2387706717568969,0.14396568452345362,0.8666666666666667,0.41005042634482286,4.528409090909091,14.955555555555556,1.9555555555555555,13.0,0.35555555555555557,45
