annotator,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,delta_eval,train_series,test_series,notes,status,data_split,best_params_json,train_f1_mean,test_f1_mean,test_precision_mean,test_recall_mean,test_mmd_mean,test_mttd_mean,test_detections_mean,test_tp_mean,test_fp_mean,test_fn_mean,test_series_count
all,page_hinkley_river,river,PageHinkley,no_supervisado,True,10,25,24,Page-Hinkley de river.,ok,train_test,"{""delta"": 0.001, ""min_instances"": 20, ""threshold"": 60}",0.3236190476190476,0.31960978835978837,0.2652777777777778,0.5381944444444444,0.638449990103467,4.866666666666665,4.25,1.2083333333333333,3.0416666666666665,0.3333333333333333,24.0
all,adwin_river,river,ADWIN,no_supervisado,True,10,25,24,ADWIN (Adaptive Windowing) de river.,ok,train_test,"{""clock"": 32, ""delta"": 0.01, ""grace_period"": 10, ""max_buckets"": 5, ""min_window_length"": 5}",0.096,0.07916666666666666,0.16666666666666666,0.052083333333333336,0.6555942944497611,4.75,0.4166666666666667,0.16666666666666666,0.25,1.375,24.0
all,ewma_numpy,EWMA,ewma,no_supervisado,True,10,25,24,EWMA ligero NumPy.,ok,train_test,"{""alpha"": 0.1, ""min_instances"": 15, ""threshold"": 2.0}",0.2798095238095238,0.28898809523809527,0.21944444444444444,0.4756944444444444,0.666721933635069,6.1190476190476195,4.666666666666667,1.0833333333333333,3.5833333333333335,0.4583333333333333,24.0
all,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,10,25,24,Ruptures PELT con costo RBF.,ok,train_test,"{""jump"": 2, ""min_size"": 10, ""penalty"": 10.0}",0.14933333333333332,0.11805555555555554,0.20833333333333334,0.08333333333333333,0.6508160181319308,2.0,0.375,0.20833333333333334,0.16666666666666666,1.3333333333333333,24.0
all,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,10,25,24,Ruptures PELT con costo L2.,ok,train_test,"{""jump"": 3, ""min_size"": 25, ""penalty"": 30.0}",0.40609523809523806,0.34960317460317464,0.3541666666666667,0.40972222222222227,0.642879681269591,3.642857142857143,2.5,0.9166666666666666,1.5833333333333333,0.625,24.0
all,changepoint_online_np_focus,changepoint_online,NPFocus,no_supervisado,True,10,25,24,Detector no parametrico tipo ventana.,ok,train_test,"{""jump"": 2, ""penalty"": 10.0, ""width"": 50}",0.14933333333333332,0.13472222222222222,0.25,0.09375,0.6331418870491019,3.0,0.2916666666666667,0.25,0.041666666666666664,1.2916666666666667,24.0
all,changepoint_online_md_focus,changepoint_online,MDFocus,no_supervisado,False,10,25,24,Binary segmentation RBF (aprox multivariado).,ok,train_test,"{""jump"": 3, ""min_size"": 15, ""penalty"": 10.0}",0.13866666666666666,0.11805555555555554,0.20833333333333334,0.08333333333333333,0.6369689518426483,2.0,0.375,0.20833333333333334,0.16666666666666666,1.3333333333333333,24.0
all,ocpdet_cumsum,OCPDet,cumsum,no_supervisado,True,10,25,24,CUSUM clasico.,ok,train_test,"{""drift"": 0.0, ""min_distance"": 20, ""threshold"": 10.0}",0.2983492063492063,0.32109788359788355,0.22916666666666666,0.6215277777777778,0.628354746243691,5.052083333333334,6.0,1.375,4.625,0.16666666666666666,24.0
all,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,10,25,24,EWMA adaptativo.,ok,train_test,"{""alpha"": 0.1, ""min_instances"": 10, ""threshold"": 2.0}",0.2745223665223665,0.27397486772486773,0.19375,0.5312499999999999,0.6599355843240308,5.055555555555555,5.791666666666667,1.1666666666666667,4.625,0.375,24.0
all,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,10,25,24,Ventanas con KS test.,ok,train_test,"{""alpha"": 0.01, ""min_distance"": 30, ""step"": 3, ""window_size"": 20}",0.431047619047619,0.3416666666666666,0.46527777777777773,0.31249999999999994,0.646635855178577,5.269230769230769,1.0833333333333333,0.625,0.4583333333333333,0.9166666666666666,24.0
all,ocpdet_neural_networks,OCPDet,neural networks,no_supervisado,True,10,25,24,Auto-regresion MLP residual.,ok,train_test,"{""hidden_layer_sizes"": [15], ""min_distance"": 20, ""step"": 1, ""threshold"": 2.0, ""window_size"": 20}",0.3392380952380952,0.24910714285714283,0.24513888888888888,0.3333333333333333,0.6751500162895631,5.615384615384615,3.0416666666666665,0.75,2.2916666666666665,0.7916666666666666,24.0
all,ssm_canary,SSM,canary,semi_supervisado,True,10,25,24,Filtro de Kalman basico.,ok,train_test,"{""measurement_noise"": 0.5, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 2.0}",0.26076190476190475,0.32261904761904764,0.31249999999999994,0.4236111111111111,0.7156202674772496,4.035714285714286,3.0416666666666665,0.875,2.1666666666666665,0.6666666666666666,24.0
all,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,10,25,24,Filtro Kalman adaptativo (TAGI).,ok,train_test,"{""adaptation"": 1e-05, ""measurement_noise"": 0.2, ""min_distance"": 15, ""process_noise"": 0.0002, ""threshold"": 2.0}",0.2578095238095238,0.2783730158730159,0.23958333333333334,0.4131944444444444,0.7030647368968687,4.607142857142857,3.5,0.875,2.625,0.6666666666666666,24.0
all,skf_kalman_canary,SKF,canary,semi_supervisado,True,10,25,24,Filtro Kalman robusto.,ok,train_test,"{""measurement_noise"": 1.0, ""min_distance"": 20, ""process_noise"": 0.005, ""threshold"": 2.5}",0.19942857142857143,0.2027777777777778,0.20833333333333334,0.22916666666666666,0.909240691174983,3.388888888888889,2.0,0.4166666666666667,1.5833333333333333,1.125,24.0
all,bayesian_online_cpd_cpfinder,Bayesian Online Change Point Detection,cpfinder,no_supervisado,True,10,25,24,BCPD con Student-T.,ok,train_test,"{""alpha"": 0.1, ""beta"": 0.01, ""hazard_lambda"": 100.0, ""kappa"": 1.0, ""min_distance"": 15, ""probability_threshold"": 0.5}",0.0,0.0,0.0,0.0,0.6666666666666666,,0.0,0.0,0.0,1.5416666666666667,24.0
all,changefinder_sdar,ChangeFinder,changefinder,no_supervisado,True,10,25,24,ChangeFinder SDAR - DISABLED due to numerical warnings.,not_implemented,train_test,,,,,,,,,,,,
all,rulsif_roerich,RuLSIF,Roerich,no_supervisado,False,10,25,24,Roerich Online NN RuLSIF - DISABLED due to hanging issues.,not_implemented,train_test,,,,,,,,,,,,
