filename,serie_id,annotator,ruido,cambio,tipo_cambio,length,n_changepoints,categoria_ruido,categoria_cambio
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s44_2025-09-26T14-04-21.csv,44,martin,0.43817422122753946,0.0,sin_cambio,120,0,bajo,bajo
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s45_2025-09-26T14-03-57.csv,45,martin,0.13193216948660255,0.15373919607534742,pendiente,120,3,bajo,bajo
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s46_2025-09-26T14-04-29.csv,46,martin,0.3526690522813216,0.0,sin_cambio,120,0,bajo,bajo
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s47_2025-09-26T14-04-10.csv,47,martin,0.21633279444371975,0.06003612894953547,pendiente,120,2,bajo,bajo
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s48_2025-09-26T14-04-03.csv,48,martin,0.6654361904881084,0.23374023179903664,pendiente,120,3,alto,bajo
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s49_2025-09-26T14-04-29.csv,49,martin,0.37954331597130536,1.1494977791817798,mean,120,3,bajo,alto
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s4_2025-09-26T14-04-11.csv,4,martin,1.0181432881372865,0.6062750998181269,pendiente,120,2,alto,alto
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s50_2025-09-26T14-04-03.csv,50,martin,0.9495061109770296,0.6565404329136003,pendiente,120,3,alto,alto
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s5_2025-09-26T14-03-55.csv,5,martin,0.16287722280476177,0.701422030958142,mean,120,2,bajo,alto
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s6_2025-09-26T14-04-04.csv,6,martin,0.035515009940392236,1.4008597148364996,pendiente,120,1,bajo,alto
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s7_2025-09-26T14-03-54.csv,7,martin,0.4589182034621814,1.1768349801413835,mean,120,2,bajo,alto
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s8_2025-09-26T14-03-57.csv,8,martin,0.3927319681617211,0.25157741446482584,pendiente,120,3,bajo,bajo
serie_etiquetada_Mart_n_Sol_s_Salazar_datasAll-s9_2025-09-26T14-03-30.csv,9,martin,0.15612170313390847,1.3386564595274701,mean,120,1,bajo,alto
